codigo,descricao,salario_medio_atual,modelo_vencedor,score,previsao_5,previsao_10,previsao_15,previsao_20,tendencia_salarial,tendencia_mercado
823220,Forneiro no Recozimento de Vidro,1.0,Fallback,0.0,1.0,1.0,1.0,1.0,Estável,RETRAÇÃO LEVE
823230,"Moldador de Abrasivos na Fabricacao de Ceramica, Vidro e Porcelana",,NoData_Fallback,0.0,,,,,Sem dados,Sem dados
823235,Operador de Banho Metalico de Vidro por Flutuacao,1087.0,Fallback,0.0,1087.0,1087.0,1087.0,1087.0,Estável,RETRAÇÃO LEVE
823240,Operador de Maquina de Soprar Vidro,2107.5,XGBoost,0.9999773015273182,2106.332275390625,2106.332275390625,2106.332275390625,2106.332275390625,Estável,RETRAÇÃO LEVE
823245,Operador de Maquina Extrusora de Varetas e Tubos de Vidro,1942.3333333333333,XGBoost,0.999976175516772,1938.9503173828125,1938.9503173828125,1938.9503173828125,1938.9503173828125,Estável,CRESCIMENTO LEVE
823250,Operador de Prensa de Moldar Vidro,1300.0,Fallback,0.0,1300.0,1300.0,1300.0,1300.0,Estável,CRESCIMENTO LEVE
823255,Temperador de Vidro,2266.0,Fallback,0.0,2266.0,2266.0,2266.0,2266.0,Estável,CRESCIMENTO LEVE
823265,Trabalhador na Fabricacao de Produtos Abrasivos,1420.25,XGBoost,0.9999750186662651,1420.3046875,1420.3046875,1420.3046875,1420.3046875,Estável,RETRAÇÃO LEVE
823305,Classificador e Empilhador de Tijolos Refratarios,1437.7857142857144,XGBoost,0.9999676433319431,1437.373779296875,1437.373779296875,1437.373779296875,1437.373779296875,Estável,CRESCIMENTO LEVE
823315,Forneiro (Materiais de Construcao),1496.195588235294,XGBoost,0.9999662393642378,1493.80078125,1493.80078125,1493.80078125,1493.80078125,Estável,RETRAÇÃO LEVE
823320,Trabalhador da Elaboracao de Pre-Fabricados (Cimento Amianto),1419.5687432867885,XGBoost,0.9999701980604662,1417.8438720703125,1417.8438720703125,1417.8438720703125,1417.8438720703125,Estável,CRESCIMENTO LEVE
823325,Trabalhador da Elaboracao de Pre-Fabricados (Concreto Armado),1480.2272408963586,XGBoost,0.9999683279903646,1477.9947509765625,1477.9947509765625,1477.9947509765625,1477.9947509765625,Estável,RETRAÇÃO LEVE
823330,Trabalhador da Fabricacao de Pedras Artificiais,1488.3333333333335,XGBoost,0.9999662227830238,1485.870361328125,1485.870361328125,1485.870361328125,1485.870361328125,Estável,CRESCIMENTO LEVE
828105,Oleiro (Fabricacao de Telhas),1487.242105263158,XGBoost,0.9999672034183732,1485.2435302734375,1485.2435302734375,1485.2435302734375,1485.2435302734375,Estável,RETRAÇÃO LEVE
828110,Oleiro (Fabricacao de Tijolos),1488.2988213399503,XGBoost,0.999967205260209,1485.8919677734375,1485.8919677734375,1485.8919677734375,1485.8919677734375,Estável,RETRAÇÃO LEVE
830105,"Mestre (Industria de Celulose, Papel e Papelao)",3042.1666666666665,XGBoost,0.9999622337498414,3036.42236328125,3036.42236328125,3036.42236328125,3036.42236328125,Estável,CRESCIMENTO LEVE
831105,Cilindreiro na Preparacao de Pasta para Fabricacao de Papel,,NoData_Fallback,0.0,,,,,Sem dados,Sem dados
831110,Operador de Branqueador de Pasta para Fabricacao de Papel,,NoData_Fallback,0.0,,,,,Sem dados,Sem dados
831115,Operador de Digestor de Pasta para Fabricacao de Papel,,NoData_Fallback,0.0,,,,,Sem dados,Sem dados
831120,Operador de Lavagem e Depuracao de Pasta para Fabricacao de Papel,,NoData_Fallback,0.0,,,,,Sem dados,Sem dados
831125,Operador de Maquina de Secar Celulose,1201.0,Linear,1.0,1706.0,2211.0,2716.0,3221.0,Crescente,CRESCIMENTO LEVE
832105,Calandrista de Papel,,Fallback_after_preproc,0.0,0.0,0.0,0.0,0.0,Sem dados,Sem dados
832110,Operador de Cortadeira de Papel,1475.095238095238,XGBoost,0.9999698075582483,1473.633544921875,1473.633544921875,1473.633544921875,1473.633544921875,Estável,RETRAÇÃO LEVE
832115,Operador de Maquina de Fabricar Papel  (Fase Umida),1302.0,XGBoost,0.9999758469340153,1301.584228515625,1301.584228515625,1301.584228515625,1301.584228515625,Estável,RETRAÇÃO LEVE
832120,Operador de Maquina de Fabricar Papel (Fase Seca),1366.0,XGBoost,0.9999600037705413,1365.46435546875,1365.46435546875,1365.46435546875,1365.46435546875,Estável,CRESCIMENTO LEVE
832125,Operador de Maquina de Fabricar Papel e Papelao,1442.2692307692307,XGBoost,0.9999608822178332,1441.097412109375,1441.097412109375,1441.097412109375,1441.097412109375,Estável,RETRAÇÃO LEVE
832135,Operador de Rebobinadeira na Fabricacao de Papel e Papelao,1324.6,XGBoost,0.9999725265729728,1324.5306396484375,1324.5306396484375,1324.5306396484375,1324.5306396484375,Estável,RETRAÇÃO LEVE
833105,"Cartonageiro, a Maquina",1173.0,XGBoost,0.9999601508702302,1173.35546875,1173.35546875,1173.35546875,1173.35546875,Estável,RETRAÇÃO LEVE
833110,"Confeccionador de Bolsas, Sacos e Sacolas e Papel, a Maquina",1435.0714285714284,XGBoost,0.9999688999194272,1433.1580810546875,1433.1580810546875,1433.1580810546875,1433.1580810546875,Estável,CRESCIMENTO LEVE
833115,"Confeccionador de Sacos de Celofane, a Maquina",1405.125,XGBoost,0.9999765010626216,1402.984619140625,1402.984619140625,1402.984619140625,1402.984619140625,Estável,CRESCIMENTO LEVE
833120,Operador de Maquina de Cortar e Dobrar Papelao,1495.125,XGBoost,0.9999659564103272,1493.1324462890625,1493.1324462890625,1493.1324462890625,1493.1324462890625,Estável,RETRAÇÃO LEVE
833125,Operador de Prensa de Embutir Papelao,1955.4166666666665,XGBoost,0.9999718939861565,1952.46240234375,1952.46240234375,1952.46240234375,1952.46240234375,Estável,CRESCIMENTO LEVE
833205,"Cartonageiro, a Mao (Caixas de Papelao)",1465.25,XGBoost,0.9999720414563604,1462.902099609375,1462.902099609375,1462.902099609375,1462.902099609375,Estável,CRESCIMENTO LEVE
840105,Supervisor de Producao da Industria Alimenticia,2470.617132867133,XGBoost,0.999969430810229,2466.79248046875,2466.79248046875,2466.79248046875,2466.79248046875,Estável,RETRAÇÃO LEVE
840110,Supervisor da Industria de Bebidas,2042.5,XGBoost,0.9999640114790942,2045.217041015625,2045.217041015625,2045.217041015625,2045.217041015625,Estável,CRESCIMENTO LEVE
840115,Supervisor da Industria de Fumo,8000.0,Fallback,0.0,8000.0,8000.0,8000.0,8000.0,Estável,CRESCIMENTO LEVE
840120,Chefe de Confeitaria,1365.3333333333335,XGBoost,0.9999656898598251,1366.3079833984375,1366.3079833984375,1366.3079833984375,1366.3079833984375,Estável,RETRAÇÃO LEVE
841105,Moleiro de Cereais (Exceto Arroz),1302.0,Fallback,0.0,1302.0,1302.0,1302.0,1302.0,Estável,RETRAÇÃO LEVE
841110,Moleiro de Especiarias,1600.0,XGBoost,0.9999606595376811,1599.371826171875,1599.371826171875,1599.371826171875,1599.371826171875,Estável,CRESCIMENTO LEVE
841115,Operador de Processo de Moagem,1430.738782051282,XGBoost,0.9999729529281474,1429.889404296875,1429.889404296875,1429.889404296875,1429.889404296875,Estável,RETRAÇÃO LEVE
841205,Moedor de Sal,,NoData_Fallback,0.0,,,,,Sem dados,Sem dados
841210,Refinador de Sal,,NoData_Fallback,0.0,,,,,Sem dados,Sem dados
841305,Operador de Cristalizacao na Refinacao de Acucar,1302.0,XGBoost,0.999967329379978,1301.0360107421875,1301.0360107421875,1301.0360107421875,1301.0360107421875,Estável,RETRAÇÃO LEVE
